Region,Platform,Image,RemoteIP,LocalIP,TimeGenerated,Subscription,Cloud
ap-southeast-2,windows,ami-0f9cdea881cc8ae59,13.211.172.214,10.122.50.34,18/12/2024 12:14,Aus Digital,AWS
ap-southeast-2,linux,ami-001f2488b35ca8aad,13.211.206.230,10.1.101.210,18/10/2024 05:21,arup-au-ade-shared-external,AWS
ap-southeast-1,linux,ami-0b2ffa433461eafbf,13.214.238.146,10.88.1.5,26/09/2024 05:33,arup-ear-cfd-dev-test,AWS
ap-southeast-2,linux,ami-0ef12c08d53021d2b,13.236.13.190,172.20.3.44,16/08/2024 03:57,arup-au-sydney-cfd-prod,AWS
ap-southeast-2,linux,ami-e96d778a,13.237.101.120,100.64.127.234,11/02/2021 11:26,arup-networking,AWS
ap-southeast-2,linux,ami-079a35fdebc8949ee,13.237.243.239,172.20.1.80,01/05/2024 06:20,arup-au-sydney-cfd-prod,AWS
ap-southeast-2,linux,ami-04f5097681773b989,13.237.54.61,172.31.10.2,05/02/2024 19:43,arup-ukimea-uncertainty-sur-dev,AWS
ap-southeast-2,linux,ami-079a35fdebc8949ee,13.237.87.97,172.20.1.57,14/09/2023 00:24,arup-au-sydney-cfd-prod,AWS
ap-southeast-2,linux,ami-03646f515d078ec29,13.238.101.252,10.124.2.11,11/02/2021 11:18,arup-au-shared-prod,AWS
ap-southeast-2,linux,ami-e96d778a,13.238.234.65,100.64.127.246,11/02/2021 11:26,arup-networking,AWS
eu-west-2,linux,ami-06a61465d4c0ab120,13.40.56.139,10.0.1.228,01/03/2022 07:51,arup-eur-ams-digital-air-prod,AWS
us-east-2,linux,ami-02238ac43d6385ab3,13.59.183.223,172.31.3.217,14/03/2023 02:47,arup-amx-weathershift-prod,AWS
australiasoutheast,linux,silver-peak-systems-silver_peak_edgeconnect-edgeconnect_9_2_4_0_94650-9.2.4,13.70.149.47,10.61.1.21,04/07/2024 14:30,arup-it-core,AZURE_ARM
australiasoutheast,linux,Canonical-UbuntuServer-18.04-LTS-18.04.202109180,13.70.189.9,10.61.47.7,16/10/2021 20:12,arup-it-sandpit,AZURE_ARM
australiasoutheast,linux,cisco-cisco-resource-connector-cisco-secure-access-resource-connector-2.0.3,13.73.111.195,10.61.77.252,08/01/2025 09:58,arup-it-test,AZURE_ARM
westus,linux,cisco-cisco-asav-asav-azure-byol-9142215.0.0,13.73.35.109,10.191.209.12,16/06/2023 13:34,arup-it-production-open,AZURE_ARM
eastasia,linux,cisco-cisco-csr-1000v-16_12-byol-16.12.120190816,13.75.117.166,10.205.2.21,13/10/2021 12:03,arup-it-core,AZURE_ARM
southeastasia,linux,cisco-cisco-asav-asav-azure-byol-9181.0.0,13.76.193.10,10.5.0.4,26/08/2022 17:06,arup-it-production-open,AZURE_ARM
australiasoutheast,linux,cisco-cisco-csr-1000v-16_12-byol-16.12.120190816,13.77.60.6,10.61.2.20,13/10/2021 12:03,arup-it-core,AZURE_ARM
japaneast,linux,cisco-cisco-csr-1000v-16_12-byol-16.12.120190816,13.78.48.118,10.203.15.4,13/10/2021 12:03,arup-it-core,AZURE_ARM
northeurope,linux,RG_auto-build_1|CiscoContentSecurity-esa-15-0-0-104-15.0.0,13.79.128.76,10.251.123.4,29/04/2024 06:55,arup-it-production-open,AZURE_ARM
northeurope,windows,MicrosoftWindowsServer-WindowsServer-2022-Datacenter-20348.2031.231006,13.79.129.13,10.251.118.5,25/10/2023 07:30,arup-it-production-open,AZURE_ARM
westus,linux,silver-peak-systems-silver_peak_edgeconnect-edgeconnect_9_2_4_0_94650-9.2.4,13.83.81.4,10.191.129.21,24/05/2024 14:45,arup-it-core,AZURE_ARM
westus,linux,silver-peak-systems-silver_peak_edgeconnect-edgeconnect_9_2_4_0_94650-9.2.4,13.91.100.180,10.191.129.20,24/05/2024 14:45,arup-it-core,AZURE_ARM
eastus,linux,Canonical-UbuntuServer-18.04-LTS-18.04.202101290,13.92.131.192,10.0.0.4,16/10/2021 20:12,arup-it-sandpit,AZURE_ARM
eastasia,linux,ribboncommunications-ribbon_sbc_swe-lite_vm-ribbon_sbc_swe-lite_vm_release-12.120001.075,13.94.56.83,10.205.112.196,16/05/2024 21:57,arup-it-production-open,AZURE_ARM
eastasia,linux,cisco-cisco-csr-1000v-16_12-byol-16.12.120190816,13.94.58.151,10.205.2.20,13/10/2021 12:03,arup-it-core,AZURE_ARM
ap-east-1,linux,ami-025ad2550fb157bd5,16.162.12.162,10.146.42.20,20/01/2023 03:40,arup-ear-carbonemissions-dev-test,AWS
ap-east-1,linux,ami-0a1e5cca1fa999d46,16.162.246.191,10.0.1.164,12/09/2023 02:47,arup-ear-transport-cdp-dev-test,AWS
ap-east-1,windows,ami-0756fbeaa604f7c23,16.163.54.111,172.31.44.25,11/08/2022 09:36,arup-ear-epd-cnmp-dev-test,AWS
uksouth,windows,MicrosoftWindowsServer-WindowsServer-2019-datacenter-gensecond-17763.5696.240406,172.167.130.2,10.0.0.4,20/09/2024 01:44,arup-compute,AZURE_ARM
uksouth,linux,Canonical-0001-com-ubuntu-server-focal-20_04-lts-gen2-20.04.202312080,172.167.195.26,10.0.3.4,19/01/2024 16:02,arup-it-dev,AZURE_ARM
uksouth,windows,MicrosoftWindowsServer-WindowsServer-2019-Datacenter-17763.6659.241205,172.167.229.62,10.2.0.4,16/12/2024 06:52,arup-it-production-open,AZURE_ARM
eastus,linux,cisco-cisco-c8000v-17_06_03a-byol-17.06.0320220429,172.174.163.182,10.191.2.20,28/02/2023 14:59,arup-it-core,AZURE_ARM
uksouth,linux,canonical-0001-com-ubuntu-server-jammy-22_04-lts-gen2-22.04.202403280,172.187.171.112,10.1.0.4,04/10/2024 01:59,arup-it-test,AZURE_ARM
uksouth,linux,canonical-0001-com-ubuntu-pro-jammy-pro-22_04-lts-gen2-22.04.202307140,172.187.179.243,10.0.3.4,17/07/2023 10:51,arup-it-dev,AZURE_ARM
uksouth,linux,silver-peak-systems-silver_peak_edgeconnect-edgeconnect_9_2_4_0_94650-9.2.4,172.187.208.29,10.126.1.20,11/06/2024 13:19,arup-it-core,AZURE_ARM
uksouth,windows,MicrosoftWindowsServer-WindowsServer-2019-Datacenter-17763.4499.230621,172.187.210.224,10.126.112.116,28/06/2023 02:43,arup-it-production-open,AZURE_ARM
uksouth,linux,silver-peak-systems-silver_peak_edgeconnect-edgeconnect_9_2_4_0_94650-9.2.4,172.187.88.98,10.126.1.21,11/06/2024 13:52,arup-it-core,AZURE_ARM
southeastasia,windows,MicrosoftWindowsServer-WindowsServer-2022-datacenter-azure-edition-20348.2700.240905,172.188.44.130,10.0.0.4,01/10/2024 04:14,BIM Design,AZURE_ARM
eastus,linux,cisco-cisco-asav-asav-azure-byol-9142215.0.0,172.190.60.175,10.191.96.12,16/06/2023 14:57,arup-it-production-open,AZURE_ARM
eastus,linux,cisco-cisco-asav-asav-azure-byol-920210.0.0,172.191.209.105,10.191.96.13,02/10/2024 07:19,arup-it-production-open,AZURE_ARM
eastus,linux,cisco-cisco-resource-connector-cisco-secure-access-resource-connector-2.0.3,172.191.32.122,10.191.64.4,07/01/2025 13:44,arup-it-test,AZURE_ARM
westeurope,linux,silver-peak-systems-silver_peak_edgeconnect-edgeconnect_9_2_4_0_94650-9.2.4,172.205.213.61,10.251.129.20,16/04/2024 13:45,arup-it-core,AZURE_ARM
southafricawest,linux,silver-peak-systems-silver_peak_edgeconnect-edgeconnect_9_2_4_0_94650-9.2.4,172.209.16.65,10.95.129.69,26/06/2024 12:14,arup-it-core,AZURE_ARM
southafricawest,linux,silver-peak-systems-silver_peak_edgeconnect-edgeconnect_9_2_4_0_94650-9.2.4,172.209.17.91,10.95.129.68,26/06/2024 11:45,arup-it-core,AZURE_ARM
eastus,linux,canonical-ubuntu-24_04-lts-server-24.04.202411030,172.210.28.231,10.1.0.4,17/12/2024 04:26,arup-it-uat,AZURE_ARM
northcentralus,linux,canonical-ubuntu-24_04-lts-server-24.04.202407160,172.214.133.224,10.0.0.4,25/07/2024 20:51,arup-it-sandpit,AZURE_ARM
northcentralus,linux,silver-peak-systems-silver_peak_edgeconnect-edgeconnect_9_2_4_0_94650-9.2.4,172.214.198.38,10.190.1.21,28/05/2024 11:15,arup-it-core,AZURE_ARM
northcentralus,linux,cisco-cisco-asav-asav-azure-byol-920210.0.0,172.214.233.32,10.190.125.12,02/10/2024 12:13,arup-it-production-open,AZURE_ARM
northcentralus,linux,cisco-cisco-asav-asav-azure-byol-920210.0.0,172.214.236.229,10.190.125.13,27/09/2024 15:20,arup-it-production-open,AZURE_ARM
us-east-2,linux,ami-02238ac43d6385ab3,18.118.210.95,172.31.1.132,11/03/2023 11:44,arup-amx-weathershift-prod,AWS
eu-west-2,linux,ami-09fcffd587ea1b5ba,18.132.138.15,100.64.127.244,17/02/2022 09:25,arup-networking,AWS
eu-west-2,linux,ami-09fcffd587ea1b5ba,18.132.170.19,100.64.127.234,21/02/2022 18:48,arup-networking,AWS
eu-west-2,linux,ami-00aaf7bad1550a431,18.132.20.26,172.31.18.38,14/02/2023 17:54,arup-ukimea-climate-toolkit-prod,AWS
eu-west-2,linux,ami-00aaf7bad1550a431,18.133.109.38,172.31.28.72,19/08/2021 04:41,arup-ukimea-climate-toolkit-prod,AWS
eu-west-2,linux,ami-0c5995b33fdf36bef,18.133.231.221,10.0.1.185,10/11/2021 22:03,arup-global-speckle-prod,AWS
eu-west-2,linux,ami-096cb92bb3580c759,18.135.149.141,172.31.21.106,19/08/2021 04:41,arup-ukimea-climate-toolkit-prod,AWS
ap-southeast-1,linux,ami-05a42cd504e9d2f85,18.142.215.67,10.88.1.20,26/07/2022 15:41,arup-ear-cfd-dev-test,AWS
ap-southeast-1,linux,ami-0b2ffa433461eafbf,18.142.220.189,10.88.1.22,12/06/2024 06:50,arup-ear-cfd-dev-test,AWS
ap-southeast-1,linux,ami-0b2ffa433461eafbf,18.142.234.72,10.88.1.6,21/07/2024 08:26,arup-ear-cfd-dev-test,AWS
eu-central-1,linux,ami-04dfd853d88e818e8,18.153.236.21,172.17.8.79,04/03/2024 09:28,arup-eur-trauntwin-dev-test,AWS
eu-central-1,linux,ami-0594d7ac31b7b7cbf,18.157.75.110,10.0.3.172,12/01/2025 03:25,arup-eur-germany-cfd-prod,AWS
eu-central-1,linux,ami-0594d7ac31b7b7cbf,18.158.140.46,10.0.2.62,30/07/2024 23:11,arup-eur-germany-cfd-prod,AWS
eu-central-1,linux,ami-0594d7ac31b7b7cbf,18.158.81.125,10.0.3.136,19/01/2025 11:54,arup-eur-germany-cfd-prod,AWS
ap-east-1,linux,ami-0a1e5cca1fa999d46,18.162.202.230,10.0.1.81,16/06/2023 10:11,arup-ear-transport-cdp-dev-test,AWS
ap-east-1,linux,ami-0f7ee13b4723c149f,18.162.73.159,10.0.1.101,04/08/2022 15:33,arup-ear-hk-cfd-prod,AWS
ap-east-1,linux,ami-0a1e5cca1fa999d46,18.163.243.75,10.0.1.242,17/06/2023 04:21,arup-ear-transport-cdp-dev-test,AWS
ap-east-1,linux,ami-062bfda0b5720ee9c,18.166.130.45,10.146.42.29,04/10/2024 01:56,arup-ear-carbonemissions-dev-test,AWS
ap-east-1,linux,ami-0b90a63eb3b84086f,18.166.188.196,10.0.1.140,05/08/2022 07:21,arup-ear-hk-cfd-prod,AWS
ap-east-1,linux,ami-09b252924449d82f9,18.166.199.107,172.31.11.16,16/07/2024 03:56,arup-ear-lmpit-prod,AWS
ap-east-1,linux,ami-01412724cbc6252ef,18.167.216.189,10.0.2.218,16/09/2024 02:16,arup-ear-aiib-dev-test,AWS
ap-east-1,windows,ami-000198657c44e2f14,18.167.243.150,172.31.42.227,26/09/2022 03:41,arup-ear-epd-cnmp-dev-test,AWS
eu-west-2,linux,ami-0b594cc165f9cddaa,18.169.38.161,10.0.1.141,01/08/2023 10:41,arup-ukimea-climate-toolkit-dev-test,AWS
eu-west-2,linux,ami-0e80a462ede03e653,18.170.118.160,10.0.2.98,11/02/2021 11:22,arup-eur-ams-digital-prod,AWS
eu-west-2,windows,ami-0f34584723e6f6fa9,18.170.175.56,10.119.64.21,25/08/2021 05:24,arup-ukimea-transport-mm-prod,AWS
eu-central-1,linux,ami-0594d7ac31b7b7cbf,18.196.243.92,10.0.2.21,15/10/2024 15:24,arup-eur-germany-cfd-prod,AWS
eu-central-1,linux,ami-0594d7ac31b7b7cbf,18.197.185.241,10.0.2.205,29/05/2024 17:54,arup-eur-germany-cfd-prod,AWS
eu-west-1,windows,ami-0f95b2038493683f7,18.201.171.177,10.0.2.100,16/12/2024 14:10,arup-global-oasys-automation-prod,AWS
eu-west-1,linux,ami-0450bfd9dee9bca43,18.202.226.85,10.0.3.131,31/01/2025 16:51,arup-global-test,AWS
eu-west-1,windows,ami-0531922bc56dc0d2f,18.203.150.232,10.0.1.130,24/01/2022 11:38,arup-ukimea-mes-rsvt-dev-test,AWS
eu-west-1,windows,ami-0cb95c5abd478db71,18.203.151.34,10.122.96.225,23/09/2021 05:02,arup-aws-security-logs,AWS
us-east-1,linux,ami-063d43db0594b521b,18.210.154.196,10.0.3.163,11/11/2024 12:13,arup-amx-vdot-shared-dev,AWS
us-east-2,linux,ami-009cdd85cf7f30fd0,18.222.205.98,172.31.28.177,16/10/2023 18:51,arup-amx-weathershift-prod,AWS
us-east-1,linux,ami-0022f774911c1d690,184.72.83.65,10.123.68.13,14/06/2022 18:19,arup-amr-ade-apps-prod,AWS
uksouth,linux,canonical-0001-com-ubuntu-server-focal-20_04-lts-gen2-20.04.202312080,20.0.123.139,10.0.0.4,26/01/2024 13:25,arup-it-sandpit,AZURE_ARM
uksouth,linux,cisco-cisco-resource-connector-cisco-secure-access-resource-connector-2.0.3,20.0.249.66,10.126.64.148,07/01/2025 15:09,arup-it-test,AZURE_ARM
canadaeast,linux,cisco-cisco-c8000v-17_06_03a-byol-17.06.0320220429,20.104.134.235,10.187.130.21,22/02/2023 12:55,arup-it-core,AZURE_ARM
australiasoutheast,linux,cisco-cisco-asav-asav-azure-byol-913.1.0,20.11.136.124,10.61.115.12,16/05/2024 21:57,arup-it-production-open,AZURE_ARM
australiaeast,linux,silver-peak-systems-silver_peak_edgeconnect-edgeconnect_9_2_4_0_94650-9.2.4,20.11.19.190,10.61.129.21,02/07/2024 11:38,arup-it-core,AZURE_ARM
uksouth,linux,cisco-cisco-asav-asav-azure-byol-9142215.0.0,20.117.145.234,10.126.120.4,08/07/2022 02:56,arup-it-production-open,AZURE_ARM
northeurope,linux,silver-peak-systems-silver_peak_edgeconnect-edgeconnect_9_2_4_0_94650-9.2.4,20.123.92.69,10.251.1.21,23/05/2024 09:22,arup-it-core,AZURE_ARM
eastus,linux,silver-peak-systems-silver_peak_edgeconnect-edgeconnect_9_2_4_0_94650-9.2.4,20.127.216.45,10.191.1.21,24/05/2024 10:41,arup-it-core,AZURE_ARM
canadacentral,linux,cisco-cisco-c8000v-17_06_03a-byol-17.06.0320220429,20.151.237.140,10.187.2.20,22/02/2023 10:21,arup-it-core,AZURE_ARM
westeurope,windows,MicrosoftWindowsServer-WindowsServer-2016-Datacenter-2016.127.20181010,20.160.33.139,10.0.0.4,23/10/2024 01:31,DW-DEV,AZURE_ARM
eastus,linux,netapp-netapp-oncommand-cloud-manager-occm-byol-3.947.1,20.169.232.249,10.191.111.13,14/01/2025 16:58,arup-it-production-open,AZURE_ARM
australiasoutheast,windows,MicrosoftWindowsServer-WindowsServer-2019-Datacenter-17763.4377.230505,20.190.103.49,10.61.117.4,16/05/2024 21:57,arup-it-production-open,AZURE_ARM
southeastasia,linux,cisco-cisco-asav-asav-azure-byol-9161.0.0,20.191.153.68,10.205.209.76,13/10/2021 12:19,arup-it-production-open,AZURE_ARM
australiaeast,windows,arup-wvd-custom-images-prod-rg|Microsoft.Compute-WVD_Shared_Image_Gallery-Qeep-App-3.0-IDF,20.193.15.86,10.61.173.22,25/01/2023 09:17,arup-it-dev,AZURE_ARM
southeastasia,linux,cisco-cisco-csr-1000v-17_3_2-byol-17.3.220201106,20.195.42.244,10.205.130.20,13/10/2021 12:03,arup-it-core,AZURE_ARM
southeastasia,linux,cisco-cisco-csr-1000v-17_3_2-byol-17.3.220201106,20.198.168.129,10.205.130.21,13/10/2021 12:03,arup-it-core,AZURE_ARM
eastasia,windows,MicrosoftWindowsServer-WindowsServer-2019-Datacenter-17763.6414.241004,20.2.168.177,10.205.112.204,12/11/2024 14:22,arup-it-production-open,AZURE_ARM
eastasia,linux,cisco-cisco-asav-asav-azure-byol-920210.0.0,20.2.192.146,10.205.112.45,08/11/2024 09:50,arup-it-production-open,AZURE_ARM
eastasia,windows,MicrosoftWindowsServer-WindowsServer-2019-Datacenter-17763.6532.241101,20.2.8.238,10.205.48.20,27/11/2024 07:08,arup-it-dev,AZURE_ARM
eastasia,linux,silver-peak-systems-silver_peak_edgeconnect-edgeconnect_9_2_4_0_94650-9.2.4,20.205.129.79,10.205.1.69,09/09/2024 08:38,arup-it-core,AZURE_ARM
eastasia,linux,canonical-0001-com-ubuntu-server-jammy-22_04-lts-gen2-22.04.202408300,20.205.131.175,10.1.0.4,04/09/2024 06:28,arup-it-uat,AZURE_ARM
australiaeast,windows,MicrosoftWindowsServer-WindowsServer-2019-Datacenter-17763.4377.230505,20.211.85.145,10.61.218.4,06/06/2023 08:55,arup-it-production-open,AZURE_ARM
southeastasia,linux,silver-peak-systems-silver_peak_edgeconnect-edgeconnect_9_2_4_0_94650-9.2.4,20.212.233.68,10.205.129.21,30/08/2024 10:02,arup-it-core,AZURE_ARM
australiaeast,linux,canonical-0001-com-ubuntu-server-jammy-22_04-lts-gen2-22.04.202307250,20.213.119.224,10.61.223.107,11/08/2023 01:37,arup-it-production-open,AZURE_ARM
australiaeast,linux,cisco-cisco-asav-asav-azure-byol-9142215.0.0,20.213.145.187,10.61.213.4,25/01/2023 09:57,arup-it-production-open,AZURE_ARM
australiaeast,linux,ribboncommunications-ribbon_sbc_swe-lite_vm-ribbon_sbc_swe-lite_vm_release-11.0001.47,20.213.16.204,10.61.217.4,24/04/2023 12:02,arup-it-production-open,AZURE_ARM
australiaeast,windows,MicrosoftWindowsServer-WindowsServer-2019-Datacenter-17763.4737.230802,20.213.162.210,10.61.208.132,09/08/2023 12:25,arup-it-production-open,AZURE_ARM
canadacentral,linux,silver-peak-systems-silver_peak_edgeconnect-edgeconnect_9_2_4_0_94650-9.2.4,20.220.16.212,10.187.1.21,29/05/2024 11:29,arup-it-core,AZURE_ARM
canadaeast,linux,cisco-cisco-c8000v-17_06_03a-byol-17.06.0320220429,20.220.90.157,10.187.130.20,31/01/2023 15:46,arup-it-core,AZURE_ARM
westeurope,windows,MicrosoftWindowsDesktop-Windows-10-win10-21h2-pro-g2-19044.2132.221015,20.224.192.155,10.1.0.4,31/10/2023 16:02,BIM Design,AZURE_ARM
centralindia,linux,cisco-cisco-asav-asav-azure-byol-9142215.0.0,20.235.106.64,10.192.1.12,07/07/2023 12:36,arup-it-production-open,AZURE_ARM
northcentralus,linux,silver-peak-systems-silver_peak_edgeconnect-edgeconnect_9_2_4_0_94650-9.2.4,20.25.198.190,10.190.1.20,28/05/2024 10:44,arup-it-core,AZURE_ARM
ukwest,linux,canonical-0001-com-ubuntu-server-focal-20_04-lts-gen2-20.04.202211151,20.254.155.157,10.0.1.4,01/12/2022 16:33,BIM Design,AZURE_ARM
eastasia,linux,cisco-cisco-asav-asav-azure-byol-920210.0.0,20.255.153.140,10.205.112.46,08/11/2024 09:50,arup-it-production-open,AZURE_ARM
eastasia,linux,canonical-0001-com-ubuntu-server-focal-20_04-lts-gen2-20.04.202301130,20.255.63.117,10.1.0.5,05/10/2024 01:43,arup-it-sandpit,AZURE_ARM
uksouth,linux,canonical-0001-com-ubuntu-server-focal-20_04-lts-gen2-20.04.202305150,20.26.239.226,10.0.1.5,15/06/2023 10:54,arup-it-dev,AZURE_ARM
australiacentral,linux,canonical-0001-com-ubuntu-server-jammy-22_04-lts-gen2-22.04.202408010,20.28.50.62,10.0.0.4,18/08/2024 15:44,arup-it-production-open,AZURE_ARM
northeurope,linux,cisco-cisco-csr-1000v-16_12-byol-16.12.120190816,20.54.82.125,10.251.2.21,13/10/2021 12:03,arup-it-core,AZURE_ARM
westeurope,linux,cisco-cisco-csr-1000v-17_3_1a-byol-17.3.120201009,20.56.26.249,10.251.130.20,26/03/2022 00:44,arup-it-core,AZURE_ARM
uksouth,linux,tenable-tenablecorenessus-tenablecorenessusbyol-2021.06.29,20.58.25.35,10.1.1.4,29/10/2021 14:36,arup-it-production-open,AZURE_ARM
eastasia,windows,MicrosoftWindowsServer-WindowsServer-2019-Datacenter-17763.5458.240206,20.6.232.134,10.205.49.7,12/03/2024 09:50,arup-it-dev,AZURE_ARM
eastasia,windows,MicrosoftWindowsServer-WindowsServer-2019-Datacenter-17763.5936.240607,20.6.232.199,10.205.49.6,12/03/2024 09:50,arup-it-dev,AZURE_ARM
southeastasia,linux,silver-peak-systems-silver_peak_edgeconnect-edgeconnect_9_2_4_0_94650-9.2.4,20.6.88.246,10.205.129.20,30/08/2024 09:03,arup-it-core,AZURE_ARM
southcentralus,linux,silver-peak-systems-silver_peak_edgeconnect-edgeconnect_9_2_4_0_94650-9.2.4,20.64.86.29,10.190.129.21,11/06/2024 06:22,arup-it-core,AZURE_ARM
australiasoutheast,linux,cisco-cisco-asav-asav-azure-byol-9142215.0.0,20.70.124.155,10.61.115.13,16/05/2024 21:57,arup-it-production-open,AZURE_ARM
australiaeast,linux,cisco-cisco-csr-1000v-17_3_2-byol-17.3.220201106,20.70.200.216,10.61.130.20,25/01/2023 09:28,arup-it-core,AZURE_ARM
uksouth,linux,oasys-image,20.77.154.97,10.126.113.212,13/10/2021 12:19,arup-it-production-open,AZURE_ARM
westeurope,linux,OpenLogic-CentOS-HPC-7_9-gen2-7.9.2022040101,20.86.150.4,10.0.0.13,20/09/2024 01:42,arup-it-dev,AZURE_ARM
southafricanorth,linux,cisco-cisco-asav-asav-azure-byol-9142215.0.0,20.87.222.226,10.95.96.12,13/06/2023 11:53,arup-it-production-open,AZURE_ARM
northcentralus,windows,MicrosoftWindowsServer-WindowsServer-2019-Datacenter-17763.4737.230802,20.88.25.17,10.190.122.4,09/08/2023 12:25,arup-it-production-open,AZURE_ARM
uksouth,linux,ribboncommunications-ribbon_sbc_swe-lite_vm-ribbon_sbc_swe-lite_vm_release-12.110147.00,20.90.75.176,10.126.114.116,14/09/2023 02:57,arup-it-production-open,AZURE_ARM
australiaeast,linux,silver-peak-systems-silver_peak_edgeconnect-edgeconnect_9_2_4_0_94650-9.2.4,20.92.251.229,10.61.129.20,02/07/2024 11:09,arup-it-core,AZURE_ARM
northeurope,windows,MicrosoftWindowsServer-WindowsServer-2022-Datacenter-20348.1906.230803,23.100.60.86,10.251.87.5,17/08/2023 07:53,arup-it-uat,AZURE_ARM
australiasoutheast,linux,OpenLogic-CentOs-7.5-7.5.20180815,23.101.225.141,10.1.0.4,13/10/2021 13:02,arup-it-test,AZURE_ARM
us-east-1,linux,ami-085925f297f89fce1,23.22.22.151,10.122.179.241,11/02/2021 11:24,AMX Digital,AWS
northcentralus,linux,cisco-cisco-csr-1000v-16_12-byol-16.12.120190816,23.96.224.53,10.190.2.20,13/10/2021 12:03,arup-it-core,AZURE_ARM
northcentralus,linux,cisco-cisco-csr-1000v-16_12-byol-16.12.120190816,23.96.226.18,10.190.2.21,13/10/2021 12:03,arup-it-core,AZURE_ARM
ap-southeast-2,linux,ami-0aac1c56a5a7e77e9,3.104.142.177,172.20.3.180,12/09/2024 23:43,arup-au-sydney-cfd-prod,AWS
ap-southeast-2,linux,ami-0652aa31044228241,3.104.222.6,172.20.1.107,17/11/2024 22:49,arup-au-sydney-cfd-prod,AWS
ap-southeast-2,linux,ami-07160e495889a7d7b,3.106.133.102,10.1.103.87,04/10/2024 02:37,arup-au-ade-shared-external,AWS
ap-southeast-2,windows,ami-0f9cdea881cc8ae59,3.107.102.60,10.122.49.90,05/02/2025 22:09,Aus Digital,AWS
eu-central-1,linux,ami-0594d7ac31b7b7cbf,3.124.175.220,10.0.2.92,21/10/2024 10:06,arup-eur-germany-cfd-prod,AWS
us-east-1,linux,ami-07cef8f45881b2b1c,3.239.172.106,10.0.1.42,03/05/2024 22:20,arup-amx-vdot-shared-dev,AWS
ap-southeast-2,linux,ami-0652aa31044228241,3.24.161.197,172.20.1.251,28/08/2024 09:46,arup-au-sydney-cfd-prod,AWS
ap-southeast-2,linux,ami-079a35fdebc8949ee,3.24.54.181,172.20.1.102,04/06/2024 06:15,arup-au-sydney-cfd-prod,AWS
eu-west-1,windows,ami-07da0250e5552b1e4,3.248.135.116,10.122.96.77,28/04/2023 09:58,arup-aws-security-logs,AWS
eu-west-1,linux,ami-05e786af422f8082a,3.248.220.90,172.31.20.20,05/12/2022 10:02,arup-aws-security-logs,AWS
eu-west-1,linux,ami-0437b321a233cc53c,3.248.232.153,192.168.42.36,09/12/2024 04:36,arup-ukimea-ade-pi-dev-test,AWS
eu-west-1,windows,ami-00dfa96e20f0f3401,3.249.214.160,10.0.2.203,05/02/2025 22:27,arup-global-oasys-automation-prod,AWS
eu-west-1,linux,ami-0c669fe429b4cf93d,3.249.219.116,10.0.1.91,10/01/2022 13:00,arup-global-speckle-prod,AWS
ap-southeast-2,linux,ami-079a35fdebc8949ee,3.25.2.238,172.20.1.7,15/11/2024 02:11,arup-au-sydney-cfd-prod,AWS
eu-west-1,linux,ami-0ce896d9a1d1ad906,3.252.132.189,10.0.1.95,03/02/2025 14:09,arup-digital-bus-method-prod,AWS
