Message ID,Verdict
<CAPG2Fui9-ObiPtUDOSk8QTE44bfe88vKy2rPhu-yJScBk=Y3Wg@mail.gmail.com>,scam
<5bcf011e-5968-4c42-8d21-cb47dc1d6c8e@iad4s13mta1143.xt.local>,bec
<f6f43dd3-69c7-410c-8beb-73c0d2f8be02@iad4s13mta1147.xt.local>,bec
<1B.91.21592.4261BE76@i-09d2e29c6e4e39116.mta1vrest.sd.prd.sparkpost>,phishing
<CY5PR19MB6242C63BAB9B1D25B2708FB7A9AD2@CY5PR19MB6242.namprd19.prod.outlook.com>,scam
<20250331114246.43DDF2EC7FB1@kes.vimosagoodyear.com.mx>,scam
<CAJ2OiORKU1X-UNwuTre7pV5u=qwxgDv3RWHXJnO4D5ZACNooWg@mail.gmail.com>,scam
<CAG1i-4vfxEar_aFiRAYmAU56qhJ1OaGiYLw66UE9z83FLd202g@mail.gmail.com>,scam
<493BF88135FC4FFCA301845C771B15C8@MTIAPRDASSEIIS1>,phishing
<497023B7562341FCA46CDAA7BE1CE21C@MTIAPRDASSEIIS1>,phishing
<AS2PR10MB78522DA161C487942B10C8F0A7AD2@AS2PR10MB7852.EURPRD10.PROD.OUTLOOK.COM>,scam
<20250331221653.5210bbf2de16940f@business1.theinsurancequoter.com>,phishing
<62d625b413efe807909cc6a8ddf4c720@confidorailway.com>,scam
<1743459154568.HSBC.71437932.2530033.9944370184@notification.hsbc.com.cn>,bec
<CAMNMjnshzENwAh1xXbm_wmGaaBQH=WR1shCX86LFGPaT6PSSOg@mail.gmail.com>,scam
<174345899700.280614.17245270126721803492@mediawebtrck.pl>,phishing
<c3a12f5f-8aae-4cd5-b957-6349e65c6eea@iad4s13mta1388.xt.local>,bec
<CAPM-WRFCB-4nSQBM5yS26fisK-ZVjyLeZ4XDEi=vB-5BisEaYQ@mail.gmail.com>,scam
<20250331062716.0968927EA582@kes.vimosagoodyear.com.mx>,scam
<ee434716-444e-43e5-a62b-0f5544840200@fra3s50mta457.xt.local>,phishing
<042a5a50-0f70-4d4e-90b0-5e7c64b01711@mtl-mta03-out2>,phishing
<DD26EF54444B428BB53302C3A98ED759@IN8DOCUKSIIS01>,phishing
<A6.89.56320.3401BE76@i-0d1b7a0e8d2ccfeb2.mta1vrest.sd.prd.sparkpost>,phishing
<66544cd9-5e54-4603-9294-7f753b6fd3e9@mtl-mta03-out2>,phishing
<98c3550a-2c77-423f-95f1-7dcc533f85ab@iad4s13mta1386.xt.local>,bec
<980f5084-e72e-431a-a3be-d2c7dd6c72d3@iad4s13mta1380.xt.local>,bec
<927642e4-0fcb-4b25-a72f-b0fddcbeeb1c@mtl-mta03-out2>,phishing
<OROFZRHLCOIEOERAAFC.QGKYWIGHLDIPBQIVZQY.XPERHNTAVVOVJWRNGUR@zsydt.com>,phishing
<20250331214258.c6ee85cc8f430c7c@business1.theinsurancequoter.com>,phishing
<4D.75.47098.AFB0BE76@i-0dc5b09bf313ca291.mta1vrest.sd.prd.sparkpost>,phishing
<b15f9702-0e54-4fb6-bc87-7c5314faad10@mtl-mta03-out2>,phishing
<CAC29FgJyjZKM_SDzWHke6MmjZqEFR7+JnbRuJ_Rx2hiR8EB7TA@mail.gmail.com>,scam
"<Share-190590a1-305c-8000-73e3-80d5f683e518,190590a1-305c-8000-73e3-80d5f683e518-3890e21d-2170-429d-99d9-ff6b85da7e30-cdf27833-3798-488e-8768-324361183626-r0-SendEmail@odspnotify>",phishing
<f8cf973c-bcfc-471a-b4a7-6fc1b19770f1@AMS0EPF0000019F.eurprd05.prod.outlook.com>,scam
<6e123aef-086d-4a43-b5d1-57749ececb33@mtl-mta03-out2>,phishing
<emwdvmziodwgbscn8gxjmjcnl.mcvevgud32d0wwcnyswyljoe65ljvsywsjxvfjlgwvonf-6kpvt.qn5xi1v3743lnvzyp1743456943@fzdongbai.com>,phishing
<b484dd17-fb46-4b16-a6ae-f08617a3f0dd@mtl-mta03-out2>,phishing
<01000195ee2125f1-72942145-5d64-4a48-bca4-ef683f06bdf2-000000@email.amazonses.com>,phishing
<d7b5c4ab-0827-4d48-99c2-a19bce7cbafb@mtl-mta03-out2>,phishing
<cef13b63-0774-4b10-97d1-076bcd7a8ab6@mtl-mta03-out2>,phishing
<02efa7bf-eb0d-4a02-bdf5-f4dc719e16a4@mtl-mta03-out2>,phishing
<e5117ec3-e6fe-4209-a704-2f5cab7a901a@mtl-mta03-out2>,phishing
<E1tzMik-00000006vRz-38gG@mta-us-r9-0502.bitrix24.com>,phishing
<E1tzMha-00000000iJl-45E6@mta-us-r9-0302.bitrix24.com>,phishing
<afb339ce-7aea-415a-ab49-2809ba7664bd@mtl-mta03-out2>,phishing
<2F.AA.31689.2190BE76@i-0c66f77c27b228b86.mta1vrest.sd.prd.sparkpost>,phishing
"<Share-580490a1-006a-8000-94a4-d8b5f610548e,580490a1-006a-8000-94a4-d8b5f610548e-1d2dbcdc-cac3-49f5-9e48-b46e6b98e1e0-40ad8ebd-84a8-4fb4-8ccc-8cccbaf18069-SendEmail-PreprocessPayload@odspnotify>",phishing
<87119490-ee8c-4d6f-99f4-d9b052babad6@mtl-mta03-out2>,phishing
<151db433-e662-4499-b003-f81b24e5521a@iad4s13mta1382.xt.local>,bec
"<Share-390490a1-a020-c000-0f8c-289f0fd99751,390490a1-a020-c000-0f8c-289f0fd99751-da88a355-d9e2-4bce-bdaa-db27b7e85625-a24163cc-20e9-4c12-a6e6-5d72c93c738e-r0-SendEmail@odspnotify>",phishing
"<Share-390490a1-a020-c000-0f8c-289f0fd99751,390490a1-a020-c000-0f8c-289f0fd99751-3bee66c5-05f6-4f4a-b189-d0627e1390ab-5a1e0c65-8341-4e10-bb7d-b022105dcf32-r0-SendEmail@odspnotify>",phishing
"<Share-390490a1-a020-c000-0f8c-289f0fd99751,390490a1-a020-c000-0f8c-289f0fd99751-81f0c654-7488-4da9-a1e2-11c5ad47bd39-f18a9eb7-50e3-4d36-8570-f5fc389771a5-r0-SendEmail@odspnotify>",phishing
"<Share-390490a1-a020-c000-0f8c-289f0fd99751,390490a1-a020-c000-0f8c-289f0fd99751-3c164e9f-6527-45a9-8d5a-b8d9ad18cfa2-4b3eada3-158b-48a6-bf03-ddb7d3607b8a-r0-SendEmail@odspnotify>",phishing
<d0058f48-1e45-44b0-aba8-876705386b78@mtl-mta03-out2>,phishing
<20250331212245.70b0156a1930c931@us.creditformerchants.com>,phishing
<01000195ee150879-712a1e67-d105-4366-8c47-9cb7f02f4ce0-000000@email.amazonses.com>,phishing
<ajiwfh4n4ei7rm3qsm6tvqed4.weftljhbacpvlvfksxkfzocxu5mvuzzgklseyurapp9mm-egx0s.ilksnz40lr33a3wmc1743456079@fzdongbai.com>,phishing
<ZHHGWXNKYHXAFPOZASL.KKBHPULXNFELKAYCKPQ.RNKWLLBGQVYIUATNCFJ@zsydt.com>,phishing
<20250331211709.be23179e685c258b@business3.theinsurancequoter.com>,phishing
<21282565-805f-4633-99c4-2d3bd2d4a729@iconfcms.org>,bec
<iAvqtuHgqYQgIzUxi63RdkC8IfyqkB5XRkCZcWwk0hM@www.mrrichard.online>,scam
<20250331211248.b90d771feb3e5f2f@business3.theinsurancequoter.com>,phishing
<174345541173.280614.10066748604491287779@mediawebtrck.pl>,phishing
<20250331211001.b6074e576d8c95ff@business1.theinsurancequoter.com>,phishing
<15db8a31-788b-4eae-8336-64770d0c1446@mtl-mta03-out2>,phishing
<pjkiahnls6pgfzmd7mpyyxben.k3chrmd7va0pgtqfamk7jocjol9ejlmu0qfwn4myrq6g7-2honk.gmco2op0ghs0ipgug1743455364@fzdongbai.com>,phishing
<20250331210456.4ad0f99b15ef9933@business3.theinsurancequoter.com>,phishing
<fb880128-ad05-4473-b6f5-1f3a6438824f@mtl-mta03-out2>,phishing
<0666f825-3c8f-4811-8c54-018f63716cdc@mtl-mta03-out2>,phishing
<ccea8bfe-ca4a-48b7-bf5a-b5cf05450844@mtl-mta03-out2>,phishing
<01000195edfff0ad-7236f64b-32c9-4606-a862-ce4bb91a8015-000000@email.amazonses.com>,phishing
<20250331205650.94635a53fd8549db@business1.theinsurancequoter.com>,phishing
<174345457297.280614.4774308808211184105@leadmaxx.pl>,phishing
<01000195edfdba78-97f40e6a-1eed-4d1c-9c3d-effb31005e7f-000000@email.amazonses.com>,bec
<mid-0c003dbde9e15f7a292ab36525b9113e-2376@cook.greatcookingideas.com>,phishing
<7b0cbaec-1c5c-4a67-9b74-d3c5fc8d6d49@mtl-mta03-out2>,phishing
<xxagunug3f2bqn5wzxsr2smre.9zjfonkgyf3sowyrrx2bpxfv936nod7dysht46zhqwfok-4kau9.9vym6ioflmjk09px21743454319@fzdongbai.com>,phishing
<NWWPHHFRLMINLCLPGGH.CTYWJPUSJOQPBJDCLZX.JWYSLTZIMTSRWEFJVGW@zsydt.com>,phishing
<4upsc429oeut.Lcbh67al8VCwRtEe7HM4XA2@tracking.intl-symposium.com>,phishing
<adzazwsrxa9bxfqmgaogmin4h.quydg8jora07nrhfd32sv658eoutwe2buqbzawftm37aw-egq79.c8ufkxuokaueamz8z1743454027@fzdongbai.com>,phishing
<B209BD7A783808A4500D2513EE46F195@otjuyuwto>,phishing
<37.99.12646.FBEFAE76@i-010afefbbb1256ef3.mta1vrest.sd.prd.sparkpost>,phishing
<76244027545922457111729@WIN-GA7BJQI009R>,scam
<6feef276-d895-428f-be1c-9149cad8f6c4@DB1PEPF000509F4.eurprd02.prod.outlook.com>,scam
<4upsc3a9nrj9.GDEawMEcmbO58kvejX983Q2@tracking.intl-symposium.com>,phishing
<01000195edf1c911-95fdac35-5428-4dbb-a0a5-2d9bbf109929-000000@email.amazonses.com>,phishing
<mid-039beb35d90a2ed4b52a31467c51fe3d-2001@mat.matchfashion.org>,phishing
<mid-b0e40829200b809c503aef3c7ddf0d77-2036@pie.thehippiehealth.com>,phishing
<CABE9VOUb+2vOvpZ2ybDJ=ddzj-88OS_pyaHUmrf3V+i3nQbKRQ@mail.gmail.com>,phishing
<4upsc2300lsv.DK6ZvB6orAGy7vjGiohLrA2@tracking.international-conferences.info>,bec
<20250331204117.f98a2d03a0546953@business2.theinsurancequoter.com>,phishing
<20250331203626.f1c048ebf901c633@business2.theinsurancequoter.com>,phishing
<20250331203556.8bdaae3b11e26c64@us.creditformerchants.com>,phishing
<01000195edea6718-3e517294-8626-4dad-bd25-e20804628b54-000000@email.amazonses.com>,phishing
<mid-c563568cf1a79b317c70e36933ce7bc1-1455@but.whynotbut.com>,phishing
<20250331203400.17242131088cd5c6@business1.theinsurancequoter.com>,phishing
<38d5aa6b-8d5c-4f3e-9fc1-37706ff27809@mtl-mta03-out2>,phishing
<20250331152657.DC8DF8A036A85D14@dostchat.com>,scam
<0d626a5d-25c3-43af-a0a1-f6e5942b86ce@mtl-mta03-out2>,phishing
<20250331202858.7ed4f536be01fafa@us.creditformerchants.com>,phishing
<mid-526da735f8a178461b66032388269942-1821@study.simplystudynews.com>,phishing
<CAEk8h8K0OWTPuyCpiqx3KRAUHkPGQ=63VEYG8McWJe9uhFBOGA@mail.gmail.com>,scam
<ba31c454-133b-4f1b-adb0-3dde15bee485@mtl-mta03-out2>,phishing
<20250331202501.975a680d887d70ee@mca1.creditformerchants.co.uk>,phishing
<a6a875c9-135a-42d4-ad71-93a4485bb8af@mtl-mta03-out2>,phishing
<7b53b6d7-f551-47e7-ad63-2d0ab605f876@DB5PEPF00014B94.eurprd02.prod.outlook.com>,scam
<FEHJPGMRSINGIENQBJR.TCCBBBQMYVUUVLABCZO.SGPEPSLPPWKLMZUZGGN@zsydt.com>,phishing
<c5c8d364-687e-4cd2-ae0f-cf92ee87ad80@mtl-mta03-out2>,phishing
<20250331202146.a66a801ec5945df4@us.creditformerchants.com>,phishing
<6db60df18d9e4630a63f9b8fa7d11d53@dcs.gov.za>,phishing
<20250331201809.3e0d6c2a39656651@business1.theinsurancequoter.com>,phishing
<174345218605.280614.15908550389897091315@leadmaxx.pl>,phishing
<20250331201607.3802afa45507fdcc@business1.theinsurancequoter.com>,phishing
<e3bba263-e221-4443-8f2c-121b216641bc@iad4s13mta1380.xt.local>,bec
<20250331201258.10b0380070b856bb@business1.theinsurancequoter.com>,phishing
<20250329192715.4B0A2B22279@posta.pleksus.com.tr>,scam
<72aa32da-a9af-4ddb-9bea-2ffc5bc7b590@mtl-mta03-out2>,phishing
<98291829-9a8a-4229-acd0-2f246c1e870a@mtl-mta03-out2>,phishing
<828cc56e9a5e747ab91362c49055081b1e15@intimacy.sx>,phishing
<20250330084052.2ECB16604CFE29E3@gmail.com>,scam
<sgrcvmvfzzko7hctm2vcuqqgr.cceuiva58ta092j70xbbuikbj9bx2wj69z6gqw9cuexgf-szsl3.l1wgrcycblsl2l6gw1743451591@fzdongbai.com>,phishing
<20250331200355.abde80e517ba2424@business1.theinsurancequoter.com>,phishing
<58a98afb-3034-4166-8a00-e23fb99b44c1@mtl-mta03-out2>,phishing
<65dd7a7870cd0ebdbd5aa32cb7d8fd35@raphaelu.ca>,scam
<4fefbd03-9d46-4e06-910e-f8a60455da5c@mtl-mta03-out2>,phishing
<X1o1WBovQY2G2AjdgotH4A@geopod-ismtpd-27>,bec
<MRTGFFXUJOFZGQFDNXREEB.FCPEHUSRALAPWLTAXMLUNHIEY-YUJPHYCQKNCEIJPWKXRWVSNRO.UMNDJEVIPKKEBAUGQRSTMSJOQ@cgwmb.com>,phishing
<e631eb4b-2e3f-4b4c-ba4e-7f8e6b15a4a4@DB1PEPF000509EF.eurprd03.prod.outlook.com>,scam
<483e70a6-57af-4332-b854-99b3812a30b5@mtl-mta04-out1>,phishing
<17b36364-a0a8-40d7-b5eb-b5055fa7f82c@Spark>,bec
<e60fedde-19e4-475d-984b-f4e850737e99@DB1PEPF000509E8.eurprd03.prod.outlook.com>,scam
<d7d101c7-d4b8-469f-a297-1dfd427fab85@mtl-mta03-out2>,phishing
<mid-a8d57a78fe119abf01fc2d0f723ec27b-2498@rest.doctoresdigitales.com>,phishing
<456296cc-9e1e-4e43-b645-4b777a15c53c@DB1PEPF000509ED.eurprd03.prod.outlook.com>,scam
<5a7554d5-3dd6-4eef-bae6-bf076c60d6da@mtl-mta03-out2>,phishing
<20250331195000.7988ae5a5c38fbe5@business1.theinsurancequoter.com>,phishing
<e4119fbd-0193-450e-a56c-d06734c33f8a@mtl-mta03-out2>,phishing
<F5.4A.00642.CA1FAE76@i-03e66a6c61d7e58ac.mta1vrest.sd.prd.sparkpost>,phishing
<SRMFQOBLZLMLVGBYYPMLNG.ERGTZKBDOKBPEGABNNBHOUWXT-TMYGRXKKAFPOQDXBQLOGDVZXH.ZQYGVUJAOGMBTAJDJDFNBOQYK@cgwmb.com>,phishing
<21d92cdc-3943-4f57-9edb-a3192fb209b3@iad4s13mta1386.xt.local>,bec
<af543612-92b1-402e-8c5e-d7f2df7f43be@iad4s13mta1386.xt.local>,bec
<b34a58ed-3eb7-4dfd-9b41-ed5f01fd475c@mtl-mta03-out2>,phishing
<20250331194801.9d223561cc4a7828@business1.theinsurancequoter.com>,phishing
<20250331194652.cbeeb57e309921c5@business1.theinsurancequoter.com>,phishing
<efea6711-053e-4bc0-920a-ad08f054ca56@AMS1EPF00000041.eurprd04.prod.outlook.com>,scam
<f6d61459-2010-41a0-a7cd-238a2ca056d9@mtl-mta04-out1>,phishing
<08f4372c-7754-46d3-bc13-18d0986c469c@mtl-mta03-out2>,phishing
<DQJBVKAAIZPDXLBJNEMZZI.DTPMBNWKERLHXBICZULFUFQPJ-IIXWZRMDBSFJJIGCEGWCOBZKP.NUQZBSCUVHLCQXGTYLIUPSKPJ@cgwmb.com>,phishing
<46a36c92-57d3-4ff9-b3e8-74d0866506eb@iad4s13mta1386.xt.local>,bec
<20250331193401.133790baf23d4fc1@business1.theinsurancequoter.com>,phishing
<4d588184-dd79-44d9-b1e9-abaab322bab2@mtl-mta03-out2>,phishing
<c17fcf57-4a8b-419d-9610-7ac2501dbad3@mtl-mta03-out2>,phishing
<3d57aa4a-28d9-4b4d-a5f2-6e1010b2d492@mtl-mta03-out2>,phishing
<CULVWZQBRDXUMRMKSOC.WKEHNOVCVCAFXCUNMYK.YUTGRIIGDZJDBDITEBP@zsydt.com>,phishing
<cf3a23f8-16a3-4823-bddc-dc2e4449b637@xoxtech.com.my>,bec
<8c35e4a6-6368-4101-b5ad-b8a4060269f3@mtl-mta03-out2>,phishing
<4926cf70-f25f-43d2-bcb8-b53b170ce505@mtl-mta03-out2>,phishing
<3e186e6f-2f44-4ca4-8b6a-642307bfaf89@mtl-mta03-out2>,phishing
<CAL1s8k0m8dBJeXfRYGqeUEfx4r-GKikvLgmSOhAX3ZhmKvWcZg@mail.gmail.com>,scam
<cd4cd16f-b8cb-4bfa-ac94-f5461d938eea@mtl-mta03-out2>,phishing
<mid-ebf53731ffd48cca635c6d73bdac1c81-2197@find.mindfullhealthfoods.com>,phishing
<83c19722-b6ed-4c45-acb0-2c5d38af34e2@DU6PEPF0000A7DE.eurprd02.prod.outlook.com>,scam
<mid-1c120955c3af7b026b3a2af3b807c204-1821@study.simplystudynews.com>,phishing
<20250331191250.3f8013a8a7cc623b@business1.theinsurancequoter.com>,phishing
<8869259e-5a0d-4fb7-a7d1-b889ec43f81b@mtl-mta03-out2>,phishing
<1590816720.420360121.1743448303411.JavaMail.zimbra@velammalmedicalcollege.edu.in>,scam
<CADWFe=OnWr_AEzgu5XTD51A=dHTGFbmPu8d1jGz3NHnZo-Ni8A@mail.gmail.com>,phishing
<YyeTgO_7TkOGx0Fd4antyg@geopod-ismtpd-8>,bec
<20250331191001.161980e4e2bcac7c@business1.theinsurancequoter.com>,phishing
<736680803.420317074.1743448125259.JavaMail.zimbra@velammalmedicalcollege.edu.in>,scam
<847695327.420298720.1743448039013.JavaMail.zimbra@velammalmedicalcollege.edu.in>,scam
<28990100552000025032921686615_28990100539003125040100773773_XTransfer@bizsupplierboost.com>,phishing
<20250331190645.27e0e9f895a83083@us.creditformerchants.com>,phishing
<20250331190557.36f2de4cf1e37e1f@us.creditformerchants.com>,phishing
<2025033193884355504110@jx363.repica.jp>,phishing
<20250331190458.b98eb5c83edef366@us.creditformerchants.com>,phishing
<20250331190444.5d0001b9067cf0c4@business1.theinsurancequoter.com>,phishing
<1494940869.420250118.1743447831798.JavaMail.zimbra@velammalmedicalcollege.edu.in>,scam
<d85f6653-7891-4659-b08a-2eadf82090a2@ajomaa.org>,bec
<TJSPJRLEESWBBSEREJTOVV.NTFSCSWUWCOJPQYIBIDTYIUGV-JJGTECBBNIBJODETIRZSUTDPJ.BZDYBRSYRSXWOUWVCSYXMDPQT@cgwmb.com>,phishing
<01000195ed9476eb-4aefe367-535c-4e48-9bf2-7c488e139402-000000@email.amazonses.com>,phishing
<b37ae321-9d31-4463-907b-dafd5809764a@mtl-mta03-out2>,phishing
<1033613677.420188348.1743447589328.JavaMail.zimbra@velammalmedicalcollege.edu.in>,scam
<1033613677.420188348.1743447589328.JavaMail.zimbra@velammalmedicalcollege.edu.in>,scam
<d092ca2a-092b-4618-8972-9d414097727e@mtl-mta03-out2>,phishing
<fcf13fbc-1b05-443a-90f6-8306d77f0f11@mtl-mta03-out2>,phishing
<djcala7yflsyzyvldlvnkcaih.wa9b7rcc2gnzvsg1d8usojjuihfa7o1rjnh9esumstsuo-wbkev.2r2ddxn0stlgawwea1743447477@fzdongbai.com>,phishing
<3ulcu22oixvvtng2ej1xi5fsm.lpb6m2qbkfqq4v44droq5sibgeqi3ajeokm3fcodujevy-yp5ve.lqx9wd6izsd9zbdmu1743447431@fzdongbai.com>,phishing
<CADkRhEB46WXDqeJtz635F0pYNaFKpT51zyUCxzThi79rfjP3uw@mail.gmail.com>,phishing
<20250331184547.715dee40e952aa63@business3.theinsurancequoter.com>,phishing
<YKCRULUZBMWKDEOFMHZUWH.DKTRUDHPYCUAPVSRVXPCIEFEH-OENQHSQKPFZHKZKAJIONCHIEY.HVKEXNFAKWEMNAWFUGPAIDXOC@cgwmb.com>,phishing
<UOFTICJKRSSLCZONBBH.ABDGPIOALMDJTVJSRSB.SCSOSCZMWNEGORTXCKK@zsydt.com>,phishing
<CAEO_PpCmZqOxbWYcQqRiNeVSw5M2U2bE27ewAG4_onhEQBn9gQ@mail.gmail.com>,phishing
<CAKBGjCVdioK5PYM4YtBGeirVDODNXs=DbeqYzkG9gLn9sKH-GQ@mail.gmail.com>,scam
<CAEO_PpCmZqOxbWYcQqRiNeVSw5M2U2bE27ewAG4_onhEQBn9gQ@mail.gmail.com>,phishing
<CAEO_PpCmZqOxbWYcQqRiNeVSw5M2U2bE27ewAG4_onhEQBn9gQ@mail.gmail.com>,phishing
<174344626105.95366.12238927032136881595@ad-portal.pl>,phishing
<f81570e7-b1a0-472c-87a4-d8c23f334c07@AM2PEPF0001C70A.eurprd05.prod.outlook.com>,scam
<1d174fda-2086-4fdc-8c84-8606e3b37029@mtl-mta03-out2>,phishing
<CAEO_PpCmZqOxbWYcQqRiNeVSw5M2U2bE27ewAG4_onhEQBn9gQ@mail.gmail.com>,phishing
<CAEO_PpCmZqOxbWYcQqRiNeVSw5M2U2bE27ewAG4_onhEQBn9gQ@mail.gmail.com>,phishing
<406672238.419845369.1743446294517.JavaMail.zimbra@velammalmedicalcollege.edu.in>,scam
<CAEO_PpCmZqOxbWYcQqRiNeVSw5M2U2bE27ewAG4_onhEQBn9gQ@mail.gmail.com>,phishing
<CAEO_PpCmZqOxbWYcQqRiNeVSw5M2U2bE27ewAG4_onhEQBn9gQ@mail.gmail.com>,phishing
<CAEO_PpCmZqOxbWYcQqRiNeVSw5M2U2bE27ewAG4_onhEQBn9gQ@mail.gmail.com>,phishing
<CAEO_PpCmZqOxbWYcQqRiNeVSw5M2U2bE27ewAG4_onhEQBn9gQ@mail.gmail.com>,phishing
<CAEO_PpCmZqOxbWYcQqRiNeVSw5M2U2bE27ewAG4_onhEQBn9gQ@mail.gmail.com>,phishing
<h420ybpczf2voaifgr9bu9ajw.gaxcflo7bnvbxewmxajjtmdycg2rz2ndy8z492iowzagt-cf6n3.hjma8scsc6rcj1tni1743446255@fzdongbai.com>,phishing
<ESSGLHHXXUJEHPLNYGP.WJFBRNQCFMJMYMCKMGT.QBHTKDVIBDYVTKZCBIZ@zsydt.com>,phishing
<20250331191717.ABF43C11A0058A1E@gmail.com>,scam
<CAEO_PpCmZqOxbWYcQqRiNeVSw5M2U2bE27ewAG4_onhEQBn9gQ@mail.gmail.com>,phishing
<CAEO_PpCmZqOxbWYcQqRiNeVSw5M2U2bE27ewAG4_onhEQBn9gQ@mail.gmail.com>,phishing
<e5f1cf25-1354-40ba-a078-1f5f3cdda5a1@mtl-mta03-out2>,phishing
<CAEO_PpCmZqOxbWYcQqRiNeVSw5M2U2bE27ewAG4_onhEQBn9gQ@mail.gmail.com>,phishing
<CAEO_PpCmZqOxbWYcQqRiNeVSw5M2U2bE27ewAG4_onhEQBn9gQ@mail.gmail.com>,phishing
<20250331183445.1c60acb26166514c@business3.theinsurancequoter.com>,phishing
<20250331173311.2B8723046A7C@umcsprodmta1.umcs.go.ug>,scam
<CAEO_PpCmZqOxbWYcQqRiNeVSw5M2U2bE27ewAG4_onhEQBn9gQ@mail.gmail.com>,phishing
<CAEO_PpCmZqOxbWYcQqRiNeVSw5M2U2bE27ewAG4_onhEQBn9gQ@mail.gmail.com>,phishing
<CAEO_PpCmZqOxbWYcQqRiNeVSw5M2U2bE27ewAG4_onhEQBn9gQ@mail.gmail.com>,phishing
<CA+YUPocGHJjw_Dyz_rbkLndRRMo4GS7hievMTHZU5nXxKPNdwA@mail.gmail.com>,scam
<CAEO_PpCmZqOxbWYcQqRiNeVSw5M2U2bE27ewAG4_onhEQBn9gQ@mail.gmail.com>,phishing
<CAEO_PpCmZqOxbWYcQqRiNeVSw5M2U2bE27ewAG4_onhEQBn9gQ@mail.gmail.com>,phishing
<CAEO_PpCmZqOxbWYcQqRiNeVSw5M2U2bE27ewAG4_onhEQBn9gQ@mail.gmail.com>,phishing
<CAEO_PpCmZqOxbWYcQqRiNeVSw5M2U2bE27ewAG4_onhEQBn9gQ@mail.gmail.com>,phishing
<CAEO_PpCmZqOxbWYcQqRiNeVSw5M2U2bE27ewAG4_onhEQBn9gQ@mail.gmail.com>,phishing
<f55b2602-5e0e-443c-8112-3004dd8aa41f@mtl-mta03-out2>,phishing
<30176df6-f42e-42e2-a485-84edf588196e@mtl-mta03-out2>,phishing
<ce6654bd-c033-4e5a-a6e8-82e55c051db7@mtl-mta03-out2>,phishing
<!&!AAAAAAAAAAAYAAAAAAAAACpfDjC/+a5HuAapwOit0BfCgAAAEAAAANlx0wDyhvVNiQ3VzJSzPOoBAAAAAA==@csicostestimation.com>,scam
<202503190842.52J8dmLt028869@mail.deesse.co.kr>,scam
<20250331182650.89da2dc2a82a577d@business1.theinsurancequoter.com>,phishing
<20250331182158.0951068a9cd5f104@us.creditformerchants.com>,phishing
<wp6cqjs5vfmxgt9cswjgbk2gm.kponiceaiognyghii3k31somtybk6qfvj7iuqfldbpisu-gy48w.kjll2kaamrkvsu9jz1743445285@fzdongbai.com>,phishing
<672c7c8b-0d98-477a-98f4-cb79d05a1525@DU6PEPF00009528.eurprd02.prod.outlook.com>,scam
<d05153b1-427e-438f-9422-e25c41518ded_07c59732-22a8-47a4-8c91-7ec91032806d@tec80.com>,malicious
<mid-05097310139c66c16fa2e10846cc81b5-2513@plan.spaceplanning.co.in>,phishing
