MessageID,Verdict,,,,,,,,,,,,,,
<c13ee3c848be429e0fa22f6066f2906001df3435@travel.ablestose.email>,bec,,,,,,,,,,,,,,
<72c02b80-12fd-47cd-8cbc-1db3fdce65be@AMS1EPF0000004B.eurprd04.prod.outlook.com>,scam,,,,,,,,,,,,,,
<02397ad7e08b6bcf94d6c5338cb4e296@ferremassinversiones.com>,scam,,,,,,,,,,,,,,
<ac4ed22aaef2b2fc94b822e850be6ef4@ferremassinversiones.com>,scam,,,,,,,,,,,,,,
<ac4ed22aaef2b2fc94b822e850be6ef4@ferremassinversiones.com>,scam,,,,,,,,,,,,,,
<20250131220458.49C43E0F70@mail3.lpse.lkpp.go.id>,scam,,,,,,,,,,,,,,
<04b69c62-45687-7fe28234862963@ec2amaz-tkmdko6>,scam,,,,,,,,,,,,,,
<_FLoVv1USwyxst9xYmFpNV8X8NpftVulSCGm7UQTOKc.tEWqOt5MlrdFZB11Gfi4jRsB7gmVIozyVNA1JzZGLX8@activelife.za.com>,phishing,,,,,,,,,,,,,,
<987r2xf3sBWzgFGuedQ2Htv1GZBB9RkyXJKJEwobSsw.CL5svOAI99x4WpZSmeYTXTUE9_DCGqyYSYY1rLguFOo@activelife.za.com>,phishing,,,,,,,,,,,,,,
<089f301e-8dae-4afa-be6a-d42463bb08e1@iad4s12mta1191.xt.local>,phishing,,,,,,,,,,,,,,
<011f2659053c55a9563c4706de372782@ferremassinversiones.com>,scam,,,,,,,,,,,,,,
<20250131215027.0bcae95cdd57bc75@business1.theinsurancequoter.com>,phishing,,,,,,,,,,,,,,
<Share-9c057da1-5076-7000-b128-46a3e6148931-9066a82a-7082-42d7-9359-a1d6e393180e-a50878c6-8978-4913-a6e5-b971b460f6a1-r0-SendEmail@odspnotify>,phishing,,,,,,,,,,,,,,
<d01db87e-f3a6-491a-9c34-51f2f8af4306@DB1PEPF0003922E.eurprd03.prod.outlook.com>,scam,,,,,,,,,,,,,,
<yY5Ioxt8zY5-o1pRonN_Y9LD9hERh0mb0qJC5A7Em2U.HZy-CSDvlDmRvV28j0qfKJ3GogeS_h8TXsffQfxGX58@activelife.za.com>,phishing,,,,,,,,,,,,,,
<SiBR93WtA16R0VSbyeu296xvuOTY0-w_gml02n330mc.YO4zaUzcxOUhHlWAB7P_OEXQd95KM7Po1YIUi1D2H0I@activelife.za.com>,phishing,,,,,,,,,,,,,,
<bC7BfHQo48t7kQGdUvggvslX4kcVogGrBC8cYqIh6IY.4tacc2nk5FjHGahIW3KWHP4v_DJ-uWMdWDrpLIAPrpg@activelife.za.com>,phishing,,,,,,,,,,,,,,
<uB-HJlRHTsCo0c0tmrW5KA@geopod-ismtpd-24>,phishing,,,,,,,,,,,,,,
<E1tdyTJ-000402-LU@ardriven.live>,scam,,,,,,,,,,,,,,
<vmgeft17383491624666304@w.wolfsonwallstreet.com>,bec,,,,,,,,,,,,,,
<qgwrib17383491624684014@w.wolfsonwallstreet.com>,bec,,,,,,,,,,,,,,
<6f17e15a-e431-4bbe-a79f-4ded02d242bb@ajomme.com>,bec,,,,,,,,,,,,,,
<8b71fafc-9c2b-42ae-b8d8-54422239fb97@DU6PEPF00009525.eurprd02.prod.outlook.com>,scam,,,,,,,,,,,,,,
<0c4501db7423$f04bf9f0$d0e3edd0$@gmail.com>,scam,,,,,,,,,,,,,,
<BY5PR19MB3539A1CC1F8975C7B0EDB24EDDE82@BY5PR19MB3539.namprd19.prod.outlook.com>,scam,,,,,,,,,,,,,,
<ce42368c-4652-4117-9ae6-fb4eef52f56e@iad4s13mta1231.xt.local>,bec,,,,,,,,,,,,,,
<01000194be29e5e6-1df12fe1-12d9-4538-b857-acf2624de67c-000000@email.amazonses.com>,phishing,,,,,,,,,,,,,,
<173834397921.374.8128185874364165556@investdeal24.pl>,phishing,,,,,,,,,,,,,,
<bH91u000000000000000000000000000000000000000000000SQZ0V700uifyIXzYS3qPRwiNrPowYg@sfdc.net>,malicious,,,,,,,,,,,,,,
<0b0c01db7422$4ea57d20$ebf07760$@gmail.com>,scam,,,,,,,,,,,,,,
<4ee8fd31-1731-4b89-8cba-4f6e9ac15343@mtl-mta03-out2>,phishing,,,,,,,,,,,,,,
<40.1C.49080.E343D976@i-0a3496c04941d667e.mta1vrest.sd.prd.sparkpost>,phishing,,,,,,,,,,,,,,
<15c32891-c485-4b58-8285-cb53a839b2c3@iad4s13mta1143.xt.local>,bec,,,,,,,,,,,,,,
<20250131201656.7f395edb816d2c0a@gupd.marketgainsupdates.com>,bec,,,,,,,,,,,,,,
<6d907c8f3832140a0d9f11ff078b072e@salaryvalues.com>,malicious,,,,,,,,,,,,,,
<DM6PR05MB63611A56E64A2E0B8A142FAB82E82@DM6PR05MB6361.namprd05.prod.outlook.com>,scam,,,,,,,,,,,,,,
<UBVd4lX7R6qqSASEjuNu-Q@geopod-ismtpd-14>,bec,,,,,,,,,,,,,,
<8zBdjfy0TzuucJQRgl1CsA@geopod-ismtpd-11>,bec,,,,,,,,,,,,,,
<autogen-java-2feadbe3-5249-437d-bd2e-2b99e6b9f136@google.com>,phishing,,,,,,,,,,,,,,
<E7.11.65533.4DC2D976@i-0a6efa9c25d0f40e9.mta1vrest.sd.prd.sparkpost>,phishing,,,,,,,,,,,,,,
<3369382b-5dd4-13e7-9cf5-f4a44d1dcbd6@user.guesty.com>,scam,,,,,,,,,,,,,,
<01000194bdf41b04-e8026da4-856e-4a3c-9eb4-a83bfe2f9453-000000@email.amazonses.com>,phishing,,,,,,,,,,,,,,
<mid-4304a0b0fce63be681675eaef64731c5-1611@mart.gosmartinterior.com>,phishing,,,,,,,,,,,,,,
<3f8776cf-7616-4402-b486-7a0da7a48109@mtl-mta03-out2>,phishing,,,,,,,,,,,,,,
<173835141224.3530084.3179877844095440250@shoptrafficpro.pl>,phishing,,,,,,,,,,,,,,
<VI1PR05MB6928FBA245C614A050FC9984E6E82@VI1PR05MB6928.eurprd05.prod.outlook.com>,scam,,,,,,,,,,,,,,
<VI1PR05MB6928FBA245C614A050FC9984E6E82@VI1PR05MB6928.eurprd05.prod.outlook.com>,scam,,,,,,,,,,,,,,
<VI1PR05MB6928FBA245C614A050FC9984E6E82@VI1PR05MB6928.eurprd05.prod.outlook.com>,scam,,,,,,,,,,,,,,
<Share-9aff7ca1-b0d0-7000-aaa5-b17f99aba7ef-5dfa26fa-3712-46c1-902b-e7edf0d99be1-d22d50bb-dd1b-4814-99c7-9707af7fa9f5-r0-SendEmail@odspnotify>,phishing,,,,,,,,,,,,,,
<173835051520.3258009.2767135759577426686@kirsite.com>,bec,,,,,,,,,,,,,,
<f68344cd-31bf-49f5-96c3-719bfdbbdfee@scichemj.org>,bec,,,,,,,,,,,,,,
<0cd101db7413$0f345490$2d9cfdb0$@gmail.com>,scam,,,,,,,,,,,,,,
<173835017037.3258009.9894395400808442238@kirsite.com>,bec,,,,,,,,,,,,,,
<173834999962.3258009.9581327395361150088@kirsite.com>,bec,,,,,,,,,,,,,,
<173834996393.3258009.721517699993389106@kirsite.com>,bec,,,,,,,,,,,,,,
<CAKATT6doy9+U8W2L5Mi7HHTc4AUzDP=ANomTrmW4aVjWOOO2EQ@mail.gmail.com>,scam,,,,,,,,,,,,,,
<VI1PR08MB33121BB774F70E99096EB1B5D7E82@VI1PR08MB3312.eurprd08.prod.outlook.com>,scam,,,,,,,,,,,,,,
<autogen-java-de4d3ca6-bb41-4f4d-8248-d9e2d2af8fd8@google.com>,phishing,,,,,,,,,,,,,,
<cm.0332387687121.sjhlrkt.thtyllbp.d@cmail19.com>,bec,,,,,,,,,,,,,,
<173834931508.3258009.7965582938107014609@kirsite.com>,bec,,,,,,,,,,,,,,
<20250131184026.03f3ba6688caa7db@business2.theinsurancequoter.com>,phishing,,,,,,,,,,,,,,
<f30b83b2-090c-4c23-ae4e-d1c594b7f665@icphms.org>,bec,,,,,,,,,,,,,,
<173834825847.3258009.2867740631440834363@kirsite.com>,bec,,,,,,,,,,,,,,
<20250131182813.8cdb4af286273de0@gupd.marketgainsupdates.com>,bec,,,,,,,,,,,,,,
<20250131182929.da9071acbaba1123@business3.theinsurancequoter.com>,phishing,,,,,,,,,,,,,,
<TYZPR06MB5321727A6FFDFC3FA0E24252EAE82@TYZPR06MB5321.apcprd06.prod.outlook.com>,scam,,,,,,,,,,,,,,
<3ef42f466986a8e1b12431da7ec5d9e2@straightlinesource.com>,phishing,,,,,,,,,,,,,,
<7f98e0c95a8cfe11b6c99b5cf141e29d@straightlinesource.com>,phishing,,,,,,,,,,,,,,
<1738347852983.0.4760314957068068@yourdomain.com>,bec,,,,,,,,,,,,,,
<CADt5swMfrno7oO2KTUHCAW-Gs9a_D3rw4GdW-Z_JCoL6omo0HA@mail.gmail.com>,scam,,,,,,,,,,,,,,
<173834709561.3258009.12377678586510065593@kirsite.com>,bec,,,,,,,,,,,,,,
<20250131180729.431995e54eea514b@business1.theinsurancequoter.com>,phishing,,,,,,,,,,,,,,
<CAHFaZnczpKyksP3++fg=buHEJP1zpzDA5tHo57xg0X__zAQ8eg@mail.gmail.com>,scam,,,,,,,,,,,,,,
<BN0P223MB0309F44627F9F6063A8C5EC2CDE82@BN0P223MB0309.NAMP223.PROD.OUTLOOK.COM>,malicious,,,,,,,,,,,,,,
<02a301db740a$35317410$9f945c30$@gmail.com>,scam,,,,,,,,,,,,,,
<MN2PR20MB2895CC822E694F8B7F1E245FE8E82@MN2PR20MB2895.namprd20.prod.outlook.com>,scam,,,,,,,,,,,,,,
<TYSPR01MB6911A676DE29F3125E395542FDE82@TYSPR01MB6911.apcprd01.prod.exchangelabs.com>,scam,,,,,,,,,,,,,,
<SL2P216MB127725397C810771A776408F89E82@SL2P216MB1277.KORP216.PROD.OUTLOOK.COM>,scam,,,,,,,,,,,,,,
<025901db7409$db456f10$91d04d30$@gmail.com>,scam,,,,,,,,,,,,,,
<SL2P216MB12774E7C57564664E273229189E82@SL2P216MB1277.KORP216.PROD.OUTLOOK.COM>,scam,,,,,,,,,,,,,,
<173834633373.3258009.16408840130986279689@kirsite.com>,bec,,,,,,,,,,,,,,
<CAAHcJhs=GVa5e69i=3XwMMNJnPi_oNnj=6+XkRCEKk03XUw6_w@mail.gmail.com>,bec,,,,,,,,,,,,,,
<BN0P223MB0309C904FB877BC43CEE9FB9CDE82@BN0P223MB0309.NAMP223.PROD.OUTLOOK.COM>,malicious,,,,,,,,,,,,,,
<CALHgA2ez85u8=qDRSYGqBtY6ira1rpgURntL5OFWsNquTt3L7A@mail.gmail.com>,scam,,,,,,,,,,,,,,
<DXnST63vEPoB0678.rrjAbiodeeS36NFS6e4afIu000033990321@hrpayrollsolution.com>,malicious,,,,,,,,,,,,,,
<mid-5fee25a1773456c8c2754ad29cb2c459-1775@well.obkwellness.com>,phishing,,,,,,,,,,,,,,
<173834560222.3258009.7723599335953761317@kirsite.com>,bec,,,,,,,,,,,,,,
<OSQPR01MB6325AB9EFCDC81D5BC72990290E82@OSQPR01MB6325.apcprd01.prod.exchangelabs.com>,scam,,,,,,,,,,,,,,
<1df26a23-41ba-40b1-9716-b34b5718e65f@mtl-mta04-out1>,phishing,,,,,,,,,,,,,,
<173834539893.3258009.11616160835961832428@kirsite.com>,bec,,,,,,,,,,,,,,
<SL2P216MB127756DEDCB58ACD6DCF574789E82@SL2P216MB1277.KORP216.PROD.OUTLOOK.COM>,scam,,,,,,,,,,,,,,
<173834506245.3258009.10734654129181584694@kirsite.com>,bec,,,,,,,,,,,,,,
<TYZPR06MB53214B2FB3C7A10B8722A4C9EAE82@TYZPR06MB5321.apcprd06.prod.outlook.com>,scam,,,,,,,,,,,,,,
<MN2PR14MB278175900DC42722341DD608F0E82@MN2PR14MB2781.namprd14.prod.outlook.com>,scam,,,,,,,,,,,,,,
<KQ56k8kQfdPfqSgDgRVfMPRLGKVzI5FS83IsDnvN8Gk.e7N0USaPyJOJC7GnPXKziVNexhYm2ycGHFERwE7ovp4@focusspot.sa.com>,phishing,,,,,,,,,,,,,,
<CALayhj=e7CT8eUSzQt8id_goPBGfSCQ0koZSErCDdUuUuFkdJQ@mail.gmail.com>,phishing,,,,,,,,,,,,,,
<20250131172327.913b69a9bc967f40@mca1.creditformerchants.co.uk>,phishing,,,,,,,,,,,,,,
<06a101db7404$cb5b4890$6211d9b0$@gmail.com>,scam,,,,,,,,,,,,,,
<CAFFWjJeCPV8KQDaEb=pLDJJMBZWuvLGU55itODOwrL0yTYgvkQ@mail.gmail.com>,scam,,,,,,,,,,,,,,
<4owKgglmTp6t6zrXf5naIw@geopod-ismtpd-16>,bec,,,,,,,,,,,,,,
<CAPhtrmNO-5K0iB=acSE1DyayRuFpRJCMqSvcB5z1RnxemzoD_g@mail.gmail.com>,scam,,,,,,,,,,,,,,
<057801db7403$9a4e0590$ceea10b0$@gmail.com>,scam,,,,,,,,,,,,,,
<86753774-a6d7-4e36-b428-b6c24294c1af@mtasv.net>,phishing,,,,,,,,,,,,,,
<5e93e85b-2f01-4e2d-afc8-23ced837f4bb@mtl-mta03-out2>,phishing,,,,,,,,,,,,,,
<4ba5e3b4-1910-451d-a1f0-ee20efd0b225@mtl-mta04-out1>,phishing,,,,,,,,,,,,,,
<173834333024.2372630.6322392307610153316@shoptrafficpro.pl>,phishing,,,,,,,,,,,,,,
<20250131165827.0c2352099416b0a0@mca1.creditformerchants.co.uk>,phishing,,,,,,,,,,,,,,
<MCQD-AZ-APP01NN79xa000049c2@MCQD-AZ-APP01.mcqueensdairies.local>,scam,,,,,,,,,,,,,,
<E1tc68z-000KXF-RF@xn--80afnej5a.xn--p1ai>,scam,,,,,,,,,,,,,,
<bc8913fd-6cd1-4e13-96b1-e51cf6770b89@mtl-mta03-out2>,phishing,,,,,,,,,,,,,,
<d0f2f831-33f0-437e-b802-1d0349ac725a@mtl-mta03-out2>,phishing,,,,,,,,,,,,,,
<1738341656.0ade53a3-81d2-477b-888f-ee419a708416@forestaveoutreach.org>,phishing,,,,,,,,,,,,,,
<75bfb7f72588254d37f5606a34e63a9d@osrcj.com>,phishing,,,,,,,,,,,,,,
<mid-e96f870152e3708d919b9fc408798d4a-2197@find.mindfullhealthfoods.com>,phishing,,,,,,,,,,,,,,
<mid-e8576ea3ceafa608c215e6466d29f4bc-2223@blaze.shopblazeice.com>,phishing,,,,,,,,,,,,,,
<CABdeJg-Nsyfz6vq4ptfq9vRHXe9_c5KaMsr=GmHEo3f06GUqBg@mail.gmail.com>,bec,,,,,,,,,,,,,,
<71b10b944658f9fdad1abf9736dc308394587a22@create.sareavaila.email>,bec,,,,,,,,,,,,,,
<679cf9ea.5d0a0220.8c4e9.81c8@mx.google.com>,scam,,,,,,,,,,,,,,
<6b6af7079e69fdcb6c653e8a3feb62fe@osrcj.com>,phishing,,,,,,,,,,,,,,
<CABOiSw8V=deG3aY91S15ocUsaAjSr_VctZnkERu7XBqoY=hJ6Q@mail.gmail.com>,scam,,,,,,,,,,,,,,
<CABOiSw8V=deG3aY91S15ocUsaAjSr_VctZnkERu7XBqoY=hJ6Q@mail.gmail.com>,scam,,,,,,,,,,,,,,
<1738340521.a73e5360-4341-4a35-9d89-9b572d983503@forestaveoutreach.org>,phishing,,,,,,,,,,,,,,
<739ae5b2ac8fea8e30273edfa6c816de2b298c4a@explore.omainnman.email>,bec,,,,,,,,,,,,,,
<f03b55bee76f01b3bf58d797fe90ef3c@straightlinesource.com>,phishing,,,,,,,,,,,,,,
<CAG57+YGeJ9Ny55frcCd_E13vYDZQRgshTCfb0T5TM6JNg43ukA@mail.gmail.com>,scam,,,,,,,,,,,,,,
<CAG57+YGeJ9Ny55frcCd_E13vYDZQRgshTCfb0T5TM6JNg43ukA@mail.gmail.com>,scam,,,,,,,,,,,,,,
<mid-20207f1fbb275c2d48549f3908cea1c7-2314@way.waymohome.com>,phishing,,,,,,,,,,,,,,
<6A.FB.65092.254FC976@i-0dccc29f536f247e0.mta1vrest.sd.prd.sparkpost>,phishing,,,,,,,,,,,,,,
<CAPM5hAZu8YhH1qys+exJbnXYnrx_EGzL+h7zTnvj5ANDFr9ayQ@mail.gmail.com>,bec,,,,,,,,,,,,,,
<01000194bd175e52-172fd14f-8044-4a93-a3fa-61763e32f66d-000000@email.amazonses.com>,phishing,,,,,,,,,,,,,,
<CAE8SDJYR2LAuw8zZ_cno=MEF7w10Fgy1v5RD5w2a_QVfpFZD+A@mail.gmail.com>,bec,,,,,,,,,,,,,,
<28990100552000025013121062769_28990100539001525013113065713_XTransfer@prochainboost.com>,malicious,,,,,,,,,,,,,,
<7f197ea1-5b7f-4cc9-b3a1-6d579b24a837@iad4s13mta1233.xt.local>,bec,,,,,,,,,,,,,,
<3e24589d-85b3-45a0-a06c-f60bd7719042@mtl-mta04-out1>,phishing,,,,,,,,,,,,,,
<20250131150935.65e52d1e056d11e5@morningbus.yourbusinessmorning.com>,bec,,,,,,,,,,,,,,
<0.0.3.956.1DB73F43C87259A.0@d13c.emsend1.com>,phishing,,,,,,,,,,,,,,
<0.1.27.263.1DB73F437AB2382.0@d13c.emsend1.com>,phishing,,,,,,,,,,,,,,
<0c9f6424-dc44-4a8a-aa48-5b86ce62a59c@CH3PEPF0000000A.namprd04.prod.outlook.com>,phishing,,,,,,,,,,,,,,
<mid-7adffe3b12e6d841ff9399d545d8e7a0-1902@tree.targeteeforward.com>,phishing,,,,,,,,,,,,,,
<dfb62d95483647bea61588e5d5962a50.20250131151930@e.newtechlibrary.com>,phishing,,,,,,,,,,,,,,
<fe567f3e-a1e6-4e0d-a34f-208d50f8c78e@AM2PEPF0001C70C.eurprd05.prod.outlook.com>,scam,,,,,,,,,,,,,,
<mid-7746307ed9cbfc726321d39f9236acfb-1694@app.schoolsapps.net>,phishing,,,,,,,,,,,,,,
<CAB7cP+K=JOO10XQ5OvAOKfiTvtSMcoObK4hQSnOxSZLBggCb5A@mail.gmail.com>,scam,,,,,,,,,,,,,,
<CAB7cP+K=JOO10XQ5OvAOKfiTvtSMcoObK4hQSnOxSZLBggCb5A@mail.gmail.com>,scam,,,,,,,,,,,,,,
<CAB7cP+K=JOO10XQ5OvAOKfiTvtSMcoObK4hQSnOxSZLBggCb5A@mail.gmail.com>,scam,,,,,,,,,,,,,,
<de6c3e22-e003-491b-961a-1c405f211d31@applcommath.org>,bec,,,,,,,,,,,,,,
<ddd9d21e46f79f4cca02aba773c529b59884ac92@create.sareavaila.email>,bec,,,,,,,,,,,,,,
<bf898786-d0a8-42d4-8f62-c452318cfe80@DU2PEPF0001E9C4.eurprd03.prod.outlook.com>,phishing,,,,,,,,,,,,,,
<8f44b382-7e81-428f-a446-1583d3813d1e@AM2PEPF0001C713.eurprd05.prod.outlook.com>,phishing,,,,,,,,,,,,,,
<034da809-41d1-4a75-ac43-92f7e431a991@CO1PEPF000044FB.namprd21.prod.outlook.com>,phishing,,,,,,,,,,,,,,
<173833544680.168761.8091568187533619578@salepower24.pl>,phishing,,,,,,,,,,,,,,
<CANuFrRmnxU806r-jtLJucJinZd=GH70YJhYDDYVjvjk1Ub5yVA@mail.gmail.com>,bec,,,,,,,,,,,,,,
<mid-93acde7f0e184135f50a25014df7b366-2175@pass.jokesaparts.com>,phishing,,,,,,,,,,,,,,
<679ce1e2.630a0220.1536bb.7f83@mx.google.com>,scam,,,,,,,,,,,,,,
<20250131143541.7451D53098@mail1.bostonmarketinggroup.com>,phishing,,,,,,,,,,,,,,
<e4ce3447-e103-43fb-9c2f-1ad95845c56d@mtasv.net>,phishing,,,,,,,,,,,,,,
<20250131143123.D3EAB53156@mail1.bostonmarketinggroup.com>,phishing,,,,,,,,,,,,,,
<fa7ca525-3770-4c31-b114-f596026732f8.369m369r@inter-passengerterminalshow.co.in>,phishing,,,,,,,,,,,,,,
<10256472661768674810529@DESKTOP-GJ5R03M>,phishing,,,,,,,,,,,,,,
<mid-18acfd6bb6d8f0136cc095f6c3be6b87-2019@shop.peteralexandershop.com>,phishing,,,,,,,,,,,,,,
<173833324690.2372630.5262023772760180014@leadmaster24.pl>,phishing,,,,,,,,,,,,,,
<3fa75297-559d-4781-ac74-0b59bd1b7cf8@mtasv.net>,phishing,,,,,,,,,,,,,,
<20250131141829.94685a4eb14a0527@business3.theinsurancequoter.com>,phishing,,,,,,,,,,,,,,
<CAF-LaYg4g4dCwO8sk-cmeVBab9xoy0Yd57vcw+8SfowvJQZzrg@mail.gmail.com>,scam,,,,,,,,,,,,,,
<20250131141101.427867a605cfe4fe@business1.theinsurancequoter.com>,phishing,,,,,,,,,,,,,,
<20250131141036.d554a4105ce1e0f8@business3.theinsurancequoter.com>,phishing,,,,,,,,,,,,,,
<0c35ac52-9699-48a0-af13-76ac6afaa046@CY4PEPF0000E9CE.namprd03.prod.outlook.com>,phishing,,,,,,,,,,,,,,
<bdfaec9f-7975-4069-84f7-bd603a221b51@BN1PEPF00006001.namprd05.prod.outlook.com>,phishing,,,,,,,,,,,,,,
<01000194bcb11ac5-a28e1005-0581-482d-a237-b1a07006cea9-000000@email.amazonses.com>,phishing,,,,,,,,,,,,,,
<CAF-LaYjC+H=k=mdjrrf-E_dt-OpqPF6sCqKgNEdUxr2t_p+K+g@mail.gmail.com>,scam,,,,,,,,,,,,,,
<CAO0YqGZv3vsJwSZ=_ipovSVYOrhMNp6j5sydf10sRfZGvfh5JQ@mail.gmail.com>,bec,,,,,,,,,,,,,,
<WBxgcQolSFK82603.LEon6PfW5Z1VI7kHOzuFX44334683644@hrpayrollsolution.com>,malicious,,,,,,,,,,,,,,
<20250131135911.7059142fda50c635@gupd.marketgainsupdates.com>,bec,,,,,,,,,,,,,,
<mid-2b9f76b3222d190c49295f8489f795d9-2202@home.sanitizehomes.com>,phishing,,,,,,,,,,,,,,
<20250131135310.5cf6675eb9c74d7c@business2.theinsurancequoter.com>,phishing,,,,,,,,,,,,,,
<CAD-bHm7DJEh1M7SbEmNTwx6ppYQ4_SyY=DkRC9AmD+OToKmCjg@mail.gmail.com>,scam,,,,,,,,,,,,,,
<autogen-java-0cf55c10-426c-4c73-8e96-0cca0be70e60@google.com>,phishing,,,,,,,,,,,,,,
<20250131135111.1A35D53106@mail1.bostonmarketinggroup.com>,phishing,,,,,,,,,,,,,,
<20250131134830.0769da7a855172a9@mca1.creditformerchants.co.uk>,phishing,,,,,,,,,,,,,,
<20250131134722.c19ce6c95779ecc3@business1.theinsurancequoter.com>,phishing,,,,,,,,,,,,,,
<CAAiCWWngm2nEMncBZOkmDHMkekAOZ_nwmzGeJ0ER6aKAo-weSg@mail.gmail.com>,scam,,,,,,,,,,,,,,
<20241113154435.C2C82C2E3B48065F@grocerymanila.com>,phishing,,,,,,,,,,,,,,
<20250131134608.CDDE0530F2@mail1.bostonmarketinggroup.com>,phishing,,,,,,,,,,,,,,
<202501311345.50VDjw4H005203@atl4mhob12.registeredsite.com>,scam,,,,,,,,,,,,,,
<20250131133821.82b6d83f690353a3@business1.theinsurancequoter.com>,phishing,,,,,,,,,,,,,,
<885740d9-dc83-4764-a469-b1d4b806fa23@iad4s12mta1105.xt.local>,bec,,,,,,,,,,,,,,
<cm.0024308472550.thgkle.nhuhrttijj.r@cmail20.com>,phishing,,,,,,,,,,,,,,
<1513129179.276158.1738330179606.JavaMail.zimbra@raimax.com.br>,scam,,,,,,,,,,,,,,
<1513129179.276158.1738330179606.JavaMail.zimbra@raimax.com.br>,scam,,,,,,,,,,,,,,
<1357697779.275981.1738330111087.JavaMail.zimbra@raimax.com.br>,scam,,,,,,,,,,,,,,
<1357697779.275981.1738330111087.JavaMail.zimbra@raimax.com.br>,scam,,,,,,,,,,,,,,
<CALayhj=e7CT8eUSzQt8id_goPBGfSCQ0koZSErCDdUuUuFkdJQ@mail.gmail.com>,phishing,,,,,,,,,,,,,,
<881161695.275659.1738330022858.JavaMail.zimbra@raimax.com.br>,scam,,,,,,,,,,,,,,
<6268b4dae6660401a2f4ab97bb2f8f7c6087f7c5@professional-update.info>,phishing,,,,,,,,,,,,,,
<CAGiwHJPV17JjykTe1CDxGfkOtXZUJB9bZoPDbXv6cTVF6x4snQ@mail.gmail.com>,scam,,,,,,,,,,,,,,
<autogen-java-19e19d27-7d3f-4ebd-9ccc-920ec843e961@google.com>,phishing,,,,,,,,,,,,,,
<e93b156e-ad01-4084-aba2-46668ac393f1@iad4s13mta1227.xt.local>,bec,,,,,,,,,,,,,,
<a6d6a947-30fa-4043-a81e-0a5cf34a58a6@AM2PEPF0001C715.eurprd05.prod.outlook.com>,scam,,,,,,,,,,,,,,
<zcb.3z04b0b1892b4e3162105a2530c991cbdd53e65027696689127091c67373fc913e.12ea7505b54a9c3a.1738329007804@mail11.sender.zcmpin.net>,phishing,,,,,,,,,,,,,,
<74.45.61704.E4BCC976@i-06500cbab75c54f28.mta1vrest.sd.prd.sparkpost>,phishing,,,,,,,,,,,,,,
<202501311309.50VD9tdm021571@hertzera.bormc.com>,scam,,,,,,,,,,,,,,
<B7DD13D1-3092-412E-A408-E48791B9A1BA@VMI1195962.contaboserver.net>,scam,,,,,,,,,,,,,,
<01000194bc717b20-ca81e53d-2581-4cc0-9e20-558caaae815e-000000@email.amazonses.com>,phishing,,,,,,,,,,,,,,
<01000194bc701558-f980b292-b2d3-4e86-beae-0d692ba4a907-000000@email.amazonses.com>,phishing,,,,,,,,,,,,,,
<20250131125441.465CD52CA2@mail1.bostonmarketinggroup.com>,phishing,,,,,,,,,,,,,,
<20250131125446.27828b507fb03279@superfoil.co.uk>,malicious,,,,,,,,,,,,,,
<SG2PR04MB5964E0A075E7F8742173AFF1BEE82@SG2PR04MB5964.apcprd04.prod.outlook.com>,scam,,,,,,,,,,,,,,
<20250131124621.bdcf646becc0532a@business1.theinsurancequoter.com>,phishing,,,,,,,,,,,,,,
